Experiment	Energy	Bin	Flux	Item	Error	ErrorStat	ErrorSyst	phi	Flux_min	Flux_max
AMS02	3.63E+01	"[3.540e+1,3.730e+1]"	3.37E-03	electron	1.20E-04	3.00E-05	9.00E-05	0	3.25E-03	3.49E-03
AMS02	3.83E+01	"[3.730e+1,3.940e+1]"	2.83E-03	electron	1.00E-04	3.00E-05	7.00E-05	0	2.73E-03	2.93E-03
AMS02	4.05E+01	"[3.940e+1,4.160e+1]"	2.34E-03	electron	8.00E-05	2.00E-05	6.00E-05	0	2.26E-03	2.42E-03
AMS02	4.28E+01	"[4.160e+1,4.400e+1]"	2.01E-03	electron	7.00E-05	2.00E-05	5.00E-05	0	1.94E-03	2.08E-03
AMS02	4.53E+01	"[4.400e+1,4.660e+1]"	1.63E-03	electron	6.00E-05	2.00E-05	4.00E-05	0	1.57E-03	1.69E-03
AMS02	4.79E+01	"[4.660e+1,4.930e+1]"	1.38E-03	electron	6.00E-05	2.00E-05	4.00E-05	0	1.32E-03	1.44E-03
AMS02	5.08E+01	"[4.930e+1,5.230e+1]"	1.14E-03	electron	4.00E-05	1.00E-05	3.00E-05	0	1.10E-03	1.18E-03
AMS02	5.39E+01	"[5.230e+1,5.560e+1]"	9.35E-04	electron	3.80E-05	1.20E-05	2.60E-05	0	8.97E-04	9.73E-04
AMS02	5.73E+01	"[5.560e+1,5.910e+1]"	7.61E-04	electron	3.10E-05	1.00E-05	2.10E-05	0	7.30E-04	7.92E-04
AMS02	6.10E+01	"[5.910e+1,6.300e+1]"	6.32E-04	electron	2.70E-05	9.00E-06	1.80E-05	0	6.05E-04	6.59E-04
AMS02	6.51E+01	"[6.300e+1,6.730e+1]"	5.05E-04	electron	2.20E-05	8.00E-06	1.40E-05	0	4.83E-04	5.27E-04
AMS02	6.96E+01	"[6.730e+1,7.200e+1]"	3.92E-04	electron	1.80E-05	7.00E-06	1.10E-05	0	3.74E-04	4.10E-04
AMS02	7.46E+01	"[7.200e+1,7.740e+1]"	3.26E-04	electron	1.60E-05	6.00E-06	1.00E-05	0	3.10E-04	3.42E-04
AMS02	8.03E+01	"[7.740e+1,8.340e+1]"	2.54E-04	electron	1.30E-05	5.00E-06	8.00E-06	0	2.41E-04	2.67E-04
AMS02	8.67E+01	"[8.340e+1,9.020e+1]"	2.03E-04	electron	1.00E-05	4.00E-06	6.00E-06	0	1.93E-04	2.13E-04
AMS02	9.40E+01	"[9.020e+1,9.810e+1]"	1.56E-04	electron	8.00E-06	3.00E-06	5.00E-06	0	1.48E-04	1.64E-04
AMS02	1.03E+02	"[9.810e+1,1.070e+2]"	1.23E-04	electron	7.00E-06	3.00E-06	4.00E-06	0	1.16E-04	1.30E-04
AMS02	1.13E+02	"[1.070e+2,1.180e+2]"	9.02E-05	electron	5.20E-06	2.10E-06	3.10E-06	0	8.50E-05	9.54E-05
AMS02	1.25E+02	"[1.180e+2,1.320e+2]"	6.59E-05	electron	3.90E-06	1.60E-06	2.30E-06	0	6.20E-05	6.98E-05
AMS02	1.40E+02	"[1.320e+2,1.490e+2]"	4.32E-05	electron	2.80E-06	1.20E-06	1.60E-06	0	4.04E-05	4.60E-05
AMS02	1.59E+02	"[1.490e+2,1.700e+2]"	3.02E-05	electron	2.00E-06	9.00E-07	1.10E-06	0	2.82E-05	3.22E-05
AMS02	1.83E+02	"[1.700e+2,1.980e+2]"	1.93E-05	electron	1.40E-06	7.00E-07	7.00E-07	0	1.79E-05	2.07E-05
AMS02	2.16E+02	"[1.980e+2,2.370e+2]"	1.11E-05	electron	9.00E-07	4.00E-07	5.00E-07	0	1.02E-05	1.20E-05
AMS02	2.62E+02	"[2.370e+2,2.900e+2]"	6.64E-06	electron	6.20E-07	3.10E-07	3.10E-07	0	6.02E-06	7.26E-06
AMS02	3.27E+02	"[2.900e+2,3.700e+2]"	3.15E-06	electron	3.80E-07	1.90E-07	1.90E-07	0	2.77E-06	3.53E-06
AMS02	4.29E+02	"[3.700e+2,5.000e+2]"	1.21E-06	electron	1.90E-07	1.00E-07	9.00E-08	0	1.02E-06	1.40E-06
